id,productcategory,productcost,productname,recomsaleprice,servingsize
4474,Protein Boxes & Bowls,5.95,Chicken & Quinoa Protein Bowl,6.35,
4177,Hot Brew,4.00,Clover Brewed Coffee,4.00,GRANDE
4549,Mercato,4.00,Mango & Coconut Yogurt Bowl,4.00,VENTI
4200,Hot Brew,1.00,Iced Coffee with Milk,3.00,LARGE
4169,Bottled Drinks,1.96,Teavana Pineapple Berry Iced Tea,3.62,
4239,Espresso Beverages,4.00,Caramel Macchiato,7.00,LARGE
4336,Espresso Beverages,3.00,Blonde Caff? Latte,4.00,GRANDE
4477,Yogurt, Fruit & Spreads,2.00,Avocado Spread,2.00,VENTI
4392,Blended Beverages,5.00,Java Chip Frappuccino Blended Coffee,7.00,LARGE
4502,Sandwiches, Paninis & Salads,1.00,Chicken & Double-Smoked Bacon,2.00,LARGE
4153,Bottled Drinks,3.69,Bottled Caramel Frappuccino Coffee Drink,7.66,
4538,Mercato,4.00,Herbed Chicken & Manchego Cheese Sandwich,6.00,LARGE
4428,Hot Breakfast,5.45,Sous Vide Egg Bites: Bacon & Gruyere,6.03,
4569,Mercato,7.00,Vegan Superberry Acai,8.00,GRANDE
4246,Espresso Beverages,6.00,Cinnamon Dolce Latte,6.00,GRANDE
4289,Espresso Beverages,3.00,Iced Skinny Cinnamon Dolce Latte,3.00,VENTI
4529,Mercato,1.00,Crispy Grilled Cheese Sandwich,4.00,LARGE
4359,Espresso Beverages,1.00,Vanilla Latte,3.00,LARGE
4404,Blended Beverages,5.00,S'mores Creme Frappuccino,6.00,LARGE
"4111,Iced Tea,5.00,""Teavana Shaken Iced Passion Tango"""" Tea Lemonade"",5.00,VENTI"
4116,Iced Tea,7.00,Teavana Shaken Peach Citrus White Tea Infusion,7.00,GRANDE
4295,Espresso Beverages,4.00,Iced Blonde  Vanilla Bean Coconutmilk Latte,4.00,VENTI
4094,Iced Tea,7.00,Teavana Shaken Iced Black Tea,8.00,LARGE
4453,Bakery,3.68,Everything Bagel,5.40,
4277,Espresso Beverages,6.00,Iced Caramel Macchiato,6.00,VENTI
4433,Hot Breakfast,5.61,Spinach,8.14,
4056,Refreshers Beverages,4.00,Pink Drink,5.00,GRANDE
4042,Cold Brew,7.00,Cold Brew Coffee with Milk,7.00,VENTI
4405,Blended Beverages,5.00,S'mores Creme Frappuccino,6.00,GRANDE
4194,Hot Brew,3.00,Featured Dark Roast,5.00,LARGE
4160,Bottled Drinks,4.58,Bottled Vanilla Frappuccino Coffee Drink,5.77,
4065,Refreshers Beverages,4.00,Very Berry Hibiscus Lemonade Starbucks Refreshers,4.00,GRANDE
4328,Espresso Beverages,4.00,Skinny Mocha,4.00,VENTI
4018,Cold Brew,8.00,Iced Coffee with Milk,8.00,VENTI
4439,Bakery,4.70,Blueberry Muffin,7.23,
4344,Espresso Beverages,4.00,Blonde Doubleshot On Ice,6.00,LARGE
4054,Refreshers Beverages,2.00,Mango Dragonfruit Starbucks Refreshers Beverage,2.00,VENTI
"4061,Refreshers Beverages,6.00,""Strawberry Acai Starbucks Refreshers"""" Beverage"",9.00,LARGE"
4363,Espresso Beverages,3.00,White Chocolate Mocha,4.00,GRANDE
4455,Bakery,7.18,Frosted Doughnut Cake Pop,8.54,
4531,Mercato,1.00,Crispy Grilled Cheese Sandwich,1.00,VENTI
4560,Mercato,5.00,Smoked Pork Cubano,5.00,GRANDE
4412,Blended Beverages,2.00,Strawberry Frappuccino Blended Creme,2.00,VENTI
4571,Mercato,6.00,Za'atar Chicken & Lemon Tahini,6.00,LARGE
4367,Blended Beverages,6.00,Caffe Vanilla Frappuccino Blended Coffee,6.00,VENTI
4464,Bakery,6.00,Pumpkin Bread,7.79,
4118,Iced Tea,3.00,Teavana Shaken Peach Citrus White Tea Infusion Lemonade,6.00,LARGE
4299,Espresso Beverages,5.00,Iced Blonde Caffe Latte,7.00,LARGE
4308,Espresso Beverages,1.00,Iced Blonde Flat White,3.00,LARGE
4327,Espresso Beverages,4.00,Skinny Mocha,4.00,GRANDE
4312,Espresso Beverages,1.00,Iced Blonde Vanilla Latte,2.00,GRANDE
4144,Bottled Drinks,4.62,Starbucks Doubleshot Energy Mexican Mocha,7.09,
4242,Espresso Beverages,5.00,Cinnamon Cloud Macchiato,7.00,LARGE
4193,Hot Brew,1.00,Decaf Pike Place Roast,1.00,VENTI
4080,Evolution Fresh,2.00,Evolution Fresh Organic Green Devotion,3.00,GRANDE
4320,Espresso Beverages,5.00,Iced White Chocolate Mocha,7.00,LARGE
4037,Cold Brew,1.00,Cold Brew Coffee,3.00,LARGE
4218,Hot Brew,7.00,Cold Brew Coffee with Milk,9.00,LARGE
4540,Mercato,4.00,Herbed Chicken & Manchego Cheese Sandwich,4.00,VENTI
4294,Espresso Beverages,4.00,Iced Blonde  Vanilla Bean Coconutmilk Latte,4.00,GRANDE
4011,Cold Brew,2.00,Cold Brew with Cascara Cold Foam,3.00,GRANDE
4522,Mercato,2.00,Baja Black Bean Veggie Wrap,2.00,VENTI
4089,Evolution Fresh,7.00,Evolution Fresh Watermelon,7.00,GRANDE
"4109,Iced Tea,5.00,""Teavana Shaken Iced Passion Tango"""" Tea Lemonade"",6.00,LARGE"
4047,Refreshers Beverages,7.00,Dragon Drink,7.00,GRANDE
4430,Hot Breakfast,4.58,Sous Vide Egg Bites: Egg White & Red Pepper,6.17,
4373,Blended Beverages,8.00,Caramel Ribbon Crunch Creme Frappuccino,8.00,VENTI
"4063,Refreshers Beverages,6.00,""Strawberry Acai Starbucks Refreshers"""" Beverage"",6.00,VENTI"
4457,Bakery,3.08,Iced Lemon Loaf Cake,6.20,
4022,Cold Brew,2.00,Iced Espresso Classics - Caffe Mocha,4.00,LARGE
4527,Mercato,5.00,Chipotle Chicken Wrap,5.00,GRANDE
4292,Espresso Beverages,7.00,Iced Skinny Mocha,7.00,VENTI
4201,Hot Brew,1.00,Iced Coffee with Milk,1.00,GRANDE
4050,Refreshers Beverages,5.00,Mango Dragonfruit Lemonade Starbucks Refreshers Beverage,6.00,GRANDE
4385,Blended Beverages,2.00,Coffee Frappuccino Blended Coffee,2.00,VENTI
4318,Espresso Beverages,3.00,Iced Vanilla Latte,3.00,GRANDE
4369,Blended Beverages,3.00,Caramel Frappuccino Blended Coffee,3.00,GRANDE
4334,Espresso Beverages,1.00,Blonde Caff? Americano,1.00,VENTI
4070,Refreshers Beverages,3.00,Violet Drink,5.00,LARGE
4115,Iced Tea,7.00,Teavana Shaken Peach Citrus White Tea Infusion,9.00,LARGE
4307,Espresso Beverages,2.00,Iced Blonde Cinnamon Cloud Macchiato,2.00,VENTI
4346,Espresso Beverages,4.00,Blonde Doubleshot On Ice,4.00,VENTI
4034,Cold Brew,6.00,Nitro Cold Brew with Sweet Cream,8.00,LARGE
4546,Mercato,3.00,Honey BBQ Sriracha Chicken Sandwich,4.00,VENTI
4393,Blended Beverages,5.00,Java Chip Frappuccino Blended Coffee,6.00,GRANDE
4402,Blended Beverages,5.00,Mocha Frappuccino Blended Coffee,5.00,GRANDE
4541,Mercato,1.00,Holiday Turkey & Stuffing Panini,2.00,LARGE
4315,Espresso Beverages,2.00,Iced Vanilla Bean Coconutmilk Latte,2.00,GRANDE
4545,Mercato,4.00,Honey BBQ Sriracha Chicken Sandwich,4.00,GRANDE
4361,Espresso Beverages,2.00,Vanilla Latte,2.00,VENTI
4145,Bottled Drinks,6.42,Starbucks Doubleshot Energy Mocha Drink,6.78,
4041,Cold Brew,7.00,Cold Brew Coffee with Milk,7.00,GRANDE
4006,Hot Brew,6.00,Hot Chocolate,7.00,VENTI
4082,Evolution Fresh,3.00,Evolution Fresh Organic Strawberry Lemonade,3.00,LARGE
4238,Espresso Beverages,2.00,Caramel Cloud Macchiato,2.00,VENTI
4287,Espresso Beverages,3.00,Iced Skinny Cinnamon Dolce Latte,3.00,LARGE
4523,Mercato,6.00,Chicken & Fig Spread Sandwich,7.00,LARGE
4038,Cold Brew,1.00,Cold Brew Coffee,2.00,GRANDE
4480,Yogurt, Fruit & Spreads,1.00,Berry Trio Parfait,2.00,VENTI
4293,Espresso Beverages,4.00,Iced Blonde  Vanilla Bean Coconutmilk Latte,5.00,LARGE
4520,Mercato,2.00,Baja Black Bean Veggie Wrap,3.00,LARGE
4514,Sandwiches, Paninis & Salads,4.00,Tomato & Mozzarella,5.00,LARGE
4475,Yogurt, Fruit & Spreads,2.00,Avocado Spread,2.00,LARGE
4335,Espresso Beverages,3.00,Blonde Caff? Latte,4.00,LARGE
4273,Espresso Beverages,6.00,Iced Caramel Cloud Macchiato,6.00,GRANDE
4013,Cold Brew,6.00,Iced Coffee,8.00,LARGE
4259,Espresso Beverages,4.00,Flat White,4.00,VENTI
4437,Bakery,6.67,Banana Nut Bread,7.47,
4252,Espresso Beverages,3.00,Espresso Con Panna,3.00,GRANDE
4389,Blended Beverages,5.00,Espresso Frappuccino Blended Coffee,6.00,LARGE
4282,Espresso Beverages,3.00,Iced Cinnamon Dolce Latte,4.00,GRANDE
4459,Bakery,3.31,Morning Bun,5.98,
4551,Mercato,8.00,Roasted Turkey & Dill Havarti Sandwich,8.00,GRANDE
4516,Sandwiches, Paninis & Salads,4.00,Tomato & Mozzarella,4.00,VENTI
4025,Cold Brew,4.00,Iced Espresso Classics - Caramel Macchiato,6.00,LARGE
4103,Iced Tea,7.00,Teavana Shaken Iced Green Tea Lemonade,8.00,LARGE
4170,Hot Brew,1.00,Blonde Roast,2.00,LARGE
4189,Hot Brew,3.00,Cold Brew with Salted Cream Cold Foam,3.00,GRANDE
4467,Bakery,5.37,The Classic - Bantam Bagels (2 Pack),9.36,
4568,Mercato,7.00,Vegan Superberry Acai,8.00,LARGE
4101,Iced Tea,3.00,Teavana Shaken Iced Green Tea,3.00,GRANDE
4493,Yogurt, Fruit & Spreads,3.00,Mango & Coconut Yogurt Bowl,4.00,LARGE
4231,Espresso Beverages,5.00,Caffe Mocha,5.00,GRANDE
4002,?Hot Brew,7.00,Cinnamon Dolce Creme,7.00,GRANDE
4181,Hot Brew,7.00,Coffee Traveler,7.00,VENTI
4440,Bakery,7.72,Blueberry Oat Cake,9.92,
4550,Mercato,7.00,Roasted Turkey & Dill Havarti Sandwich,8.00,LARGE
4079,Evolution Fresh,2.00,Evolution Fresh Organic Green Devotion,2.00,LARGE
4381,Blended Beverages,3.00,Chocolate Cookie Crumble Creme Frappuccino,4.00,GRANDE
4075,Evolution Fresh,1.00,Evolution Fresh Orange,1.00,VENTI
4364,Espresso Beverages,3.00,White Chocolate Mocha,3.00,VENTI
4228,Espresso Beverages,6.00,Caffe Latte,7.00,GRANDE
4281,Espresso Beverages,3.00,Iced Cinnamon Dolce Latte,5.00,LARGE
4353,Espresso Beverages,1.00,Blonde Vanilla Latte,3.00,LARGE
4510,Sandwiches, Paninis & Salads,6.00,Crispy Grilled Cheese Sandwich,6.00,VENTI
4525,Mercato,6.00,Chicken & Fig Spread Sandwich,6.00,VENTI
4191,Hot Brew,1.00,Decaf Pike Place Roast,3.00,LARGE
4078,Evolution Fresh,2.00,Evolution Fresh Organic Defense Up,2.00,VENTI
4028,Cold Brew,6.00,Nitro Cold Brew,8.00,LARGE
4260,Espresso Beverages,2.00,Iced Caffe Americano,4.00,LARGE
4446,Bakery,6.05,Chocolate Chip Cookie Dough Cake Pop,9.09,
4427,Hot Breakfast,2.15,Sausage,4.32,
4186,Hot Brew,5.00,Cold Brew with Cold Foam,5.00,GRANDE
4498,Yogurt, Fruit & Spreads,5.00,Vegan Superberry Acai,5.00,VENTI
4507,Sandwiches, Paninis & Salads,6.00,Chicken Caprese,6.00,VENTI
4374,Blended Beverages,6.00,Caramel Ribbon Crunch Frappuccino,7.00,LARGE
4450,Bakery,5.36,Confetti Sugar Cookie,6.03,
4443,Bakery,3.68,Cheese Danish,5.65,
4558,Mercato,2.00,Smoked Mozzarella & Roasted Pepper Sandwich,2.00,VENTI
4020,Cold Brew,4.00,Iced Espresso Classics  - Vanilla Latte,5.00,GRANDE
4267,Espresso Beverages,7.00,Iced Caffe Mocha,7.00,GRANDE
4552,Mercato,7.00,Roasted Turkey & Dill Havarti Sandwich,8.00,VENTI
4132,Iced Tea,7.00,Teavana Shaken Strawberry Green Tea Infusion Lemonade,7.00,VENTI
4099,Iced Tea,6.00,Teavana Shaken Iced Black Tea Lemonade,6.00,VENTI
4372,Blended Beverages,8.00,Caramel Ribbon Crunch Creme Frappuccino,8.00,GRANDE
4485,Yogurt, Fruit & Spreads,4.00,Justin's Chocolate Hazelnut Butter,5.00,GRANDE
4268,Espresso Beverages,6.00,Iced Caffe Mocha,7.00,VENTI
4543,Mercato,1.00,Holiday Turkey & Stuffing Panini,2.00,VENTI
4408,Blended Beverages,7.00,S'mores Frappuccino,7.00,GRANDE
4451,Bakery,4.46,Double Chocolate Chunk Brownie,8.09,
4172,Hot Brew,1.00,Blonde Roast,1.00,VENTI
4548,Mercato,4.00,Mango & Coconut Yogurt Bowl,4.00,GRANDE
4064,Refreshers Beverages,3.00,Very Berry Hibiscus Lemonade Starbucks Refreshers,6.00,LARGE
4561,Mercato,5.00,Smoked Pork Cubano,5.00,VENTI
4137,Bottled Drinks,2.78,Iced Espresso Classics - Caramel Macchiato,6.46,
4196,Hot Brew,3.00,Featured Dark Roast,3.00,VENTI
4310,Espresso Beverages,2.00,Iced Blonde Flat White,2.00,VENTI
4481,Yogurt, Fruit & Spreads,5.00,Fresh Blueberries and Honey Greek Yogurt Parfait,6.00,LARGE
4358,Espresso Beverages,4.00,Vanilla Bean Coconutmilk Latte,4.00,VENTI
4113,Iced Tea,2.00,Teavana Shaken Iced Pi?a Colada Tea Infusion,2.00,GRANDE
4380,Blended Beverages,3.00,Chocolate Cookie Crumble Creme Frappuccino,4.00,LARGE
4347,Espresso Beverages,2.00,Blonde Flat White,3.00,LARGE
4461,Bakery,6.50,Old-Fashioned Glazed Doughnut,9.28,
4390,Blended Beverages,6.00,Espresso Frappuccino Blended Coffee,6.00,GRANDE
4397,Blended Beverages,6.00,Matcha Green Tea Creme Frappuccino,6.00,VENTI
4204,Hot Brew,2.00,Nitro Cold Brew,3.00,GRANDE
4119,Iced Tea,4.00,Teavana Shaken Peach Citrus White Tea Infusion Lemonade,4.00,GRANDE
4120,Iced Tea,4.00,Teavana Shaken Peach Citrus White Tea Infusion Lemonade,4.00,VENTI
4512,Sandwiches, Paninis & Salads,4.00,Ham & Swiss Panini,4.00,GRANDE
4501,Sandwiches, Paninis & Salads,4.00,Baja Black Bean Veggie Wrap,4.00,VENTI
4123,Iced Tea,1.00,Teavana Shaken Pineapple Black Tea Infusion,1.00,VENTI
4035,Cold Brew,6.00,Nitro Cold Brew with Sweet Cream,6.00,GRANDE
4159,Bottled Drinks,2.48,Bottled Mocha Frappuccino Coffee Drink,5.22,
4131,Iced Tea,7.00,Teavana Shaken Strawberry Green Tea Infusion Lemonade,7.00,GRANDE
4223,Hot Brew,6.00,Vanilla Sweet Cream Cold Brew,6.00,VENTI
4257,Espresso Beverages,4.00,Flat White,5.00,LARGE
4250,Espresso Beverages,3.00,Espresso,3.00,VENTI
4351,Espresso Beverages,4.00,Blonde Vanilla Bean Coconutmilk Latte,4.00,GRANDE
4448,Bakery,1.48,Cinnamon Raisin Bagel,2.70,
4053,Refreshers Beverages,2.00,Mango Dragonfruit Starbucks Refreshers Beverage,3.00,GRANDE
4016,Cold Brew,7.00,Iced Coffee with Milk,10.00,LARGE
4528,Mercato,4.00,Chipotle Chicken Wrap,5.00,VENTI
4535,Mercato,2.00,Grilled Chicken & Cauliflower Tabbouleh,5.00,LARGE
4207,Hot Brew,7.00,Nitro Cold Brew with Cascara Cold Foam,8.00,GRANDE
4008,Hot Brew,6.00,Vanilla Creme,6.00,GRANDE
4547,Mercato,4.00,Mango & Coconut Yogurt Bowl,5.00,LARGE
4136,Bottled Drinks,4.53,Iced Espresso Classics - Caffe Mocha,6.49,
4076,Evolution Fresh,2.00,Evolution Fresh Organic Defense Up,3.00,LARGE
4096,Iced Tea,7.00,Teavana Shaken Iced Black Tea,7.00,VENTI
4031,Cold Brew,6.00,Nitro Cold Brew with Cascara Cold Foam,8.00,LARGE
4323,Espresso Beverages,3.00,Latte Macchiato,6.00,LARGE
4500,Sandwiches, Paninis & Salads,4.00,Baja Black Bean Veggie Wrap,5.00,GRANDE
4003,?Hot Brew,6.00,Cinnamon Dolce Creme,6.00,VENTI
4166,Bottled Drinks,3.54,Iced Latte - Pumpkin Spice Latte,5.36,
4176,Hot Brew,3.00,Clover Brewed Coffee,5.00,LARGE
4005,Hot Brew,7.00,Hot Chocolate,7.00,GRANDE
4542,Mercato,1.00,Holiday Turkey & Stuffing Panini,2.00,GRANDE
4261,Espresso Beverages,2.00,Iced Caffe Americano,3.00,GRANDE
4004,Hot Brew,6.00,Hot Chocolate,8.00,LARGE
4530,Mercato,2.00,Crispy Grilled Cheese Sandwich,2.00,GRANDE
4210,Hot Brew,7.00,Nitro Cold Brew with Sweet Cream,7.00,GRANDE
4280,Espresso Beverages,5.00,Iced Cinnamon Cloud Macchiato,5.00,VENTI
4213,Hot Brew,7.00,Pike Place Roast,8.00,GRANDE
4434,Bakery,7.81,Chonga Bagel,9.56,
4237,Espresso Beverages,2.00,Caramel Cloud Macchiato,2.00,GRANDE
4179,Hot Brew,7.00,Coffee Traveler,8.00,LARGE
4073,Evolution Fresh,1.00,Evolution Fresh Orange,4.00,LARGE
4190,Hot Brew,2.00,Cold Brew with Salted Cream Cold Foam,2.00,VENTI
4029,Cold Brew,6.00,Nitro Cold Brew,7.00,GRANDE
4311,Espresso Beverages,1.00,Iced Blonde Vanilla Latte,2.00,LARGE
4492,Yogurt, Fruit & Spreads,3.00,Lemon Crunch Yogurt Parfait,3.00,VENTI
4456,Bakery,4.58,Gluten-Free Marshmallow Dream Bar,5.69,
4357,Espresso Beverages,4.00,Vanilla Bean Coconutmilk Latte,4.00,GRANDE
4195,Hot Brew,3.00,Featured Dark Roast,3.00,GRANDE
4071,Refreshers Beverages,3.00,Violet Drink,3.00,GRANDE
4321,Espresso Beverages,5.00,Iced White Chocolate Mocha,6.00,GRANDE
4483,Yogurt, Fruit & Spreads,5.00,Fresh Blueberries and Honey Greek Yogurt Parfait,5.00,VENTI
4048,Refreshers Beverages,7.00,Dragon Drink,7.00,VENTI
4044,Cold Brew,7.00,Vanilla Sweet Cream Cold Brew,7.00,GRANDE
4112,Iced Tea,1.00,Teavana Shaken Iced Pi?a Colada Tea Infusion,3.00,LARGE
4209,Hot Brew,6.00,Nitro Cold Brew with Sweet Cream,9.00,LARGE
4174,Hot Brew,2.00,Caff? Misto,2.00,GRANDE
4164,Bottled Drinks,1.58,Iced Coffee Light Sweetened,5.01,
4557,Mercato,2.00,Smoked Mozzarella & Roasted Pepper Sandwich,2.00,GRANDE
4221,Hot Brew,6.00,Vanilla Sweet Cream Cold Brew,7.00,LARGE
4017,Cold Brew,8.00,Iced Coffee with Milk,8.00,GRANDE
4491,Yogurt, Fruit & Spreads,3.00,Lemon Crunch Yogurt Parfait,3.00,GRANDE
4562,Mercato,7.00,Strawberry & Toasted Almonds Overnight Grains,9.00,LARGE
4438,Bakery,1.93,Birthday Cake Pop,5.92,
4476,Yogurt, Fruit & Spreads,2.00,Avocado Spread,2.00,GRANDE
4142,Bottled Drinks,7.06,Starbucks Doubleshot Energy Coffee Drink,10.84,
4060,Refreshers Beverages,4.00,Strawberry Acai Lemonade Starbucks Refreshers,5.00,VENTI
4140,Bottled Drinks,2.49,Starbucks Doubleshot Coffee Smoothie - Dark Chocolate,4.13,
4162,Bottled Drinks,7.31,Doubleshot Protein Vanilla,8.51,
4066,Refreshers Beverages,4.00,Very Berry Hibiscus Lemonade Starbucks Refreshers,4.00,VENTI
4332,Espresso Beverages,1.00,Blonde Caff? Americano,3.00,LARGE
4245,Espresso Beverages,5.00,Cinnamon Dolce Latte,7.00,LARGE
4303,Espresso Beverages,2.00,Iced Blonde Caramel Cloud Macchiato,3.00,GRANDE
4052,Refreshers Beverages,2.00,Mango Dragonfruit Starbucks Refreshers Beverage,3.00,LARGE
4317,Espresso Beverages,3.00,Iced Vanilla Latte,6.00,LARGE
4036,Cold Brew,6.00,Nitro Cold Brew with Sweet Cream,6.00,VENTI
4424,Hot Breakfast,5.51,Hearty Blueberry Oatmeal,8.85,
4251,Espresso Beverages,2.00,Espresso Con Panna,5.00,LARGE
4352,Espresso Beverages,3.00,Blonde Vanilla Bean Coconutmilk Latte,3.00,VENTI
4306,Espresso Beverages,2.00,Iced Blonde Cinnamon Cloud Macchiato,3.00,GRANDE
4154,Bottled Drinks,4.17,Bottled Coffee Frappuccino Coffee Drink,6.65,
4486,Yogurt, Fruit & Spreads,4.00,Justin's Chocolate Hazelnut Butter,4.00,VENTI
4482,Yogurt, Fruit & Spreads,5.00,Fresh Blueberries and Honey Greek Yogurt Parfait,6.00,GRANDE
4033,Cold Brew,6.00,Nitro Cold Brew with Cascara Cold Foam,6.00,VENTI
4354,Espresso Beverages,1.00,Blonde Vanilla Latte,1.00,GRANDE
4015,Cold Brew,6.00,Iced Coffee,6.00,VENTI
"4108,Iced Tea,5.00,""Teavana Shaken Iced Passion Tango"""" Tea"",5.00,VENTI"
4254,Espresso Beverages,7.00,Espresso Macchiato,8.00,LARGE
4248,Espresso Beverages,2.00,Espresso,3.00,LARGE
4553,Mercato,4.00,Seasoned Turkey & Green Pepper Pico,6.00,LARGE
4345,Espresso Beverages,4.00,Blonde Doubleshot On Ice,5.00,GRANDE
4083,Evolution Fresh,3.00,Evolution Fresh Organic Strawberry Lemonade,3.00,GRANDE
4001,?Hot Brew,6.00,Cinnamon Dolce Creme,7.00,LARGE
4010,Cold Brew,2.00,Cold Brew with Cascara Cold Foam,2.00,LARGE
4458,Bakery,1.36,Lemon Cake Pop,5.04,
4343,Espresso Beverages,8.00,Blonde Cinnamon Cloud Macchiato,8.00,VENTI
4043,Cold Brew,7.00,Vanilla Sweet Cream Cold Brew,8.00,LARGE
4284,Espresso Beverages,5.00,Iced Latte Macchiato,7.00,LARGE
4147,Bottled Drinks,3.14,Starbucks Doubleshot Energy White Chocolate Drink,5.66,
4173,Hot Brew,1.00,Caff? Misto,4.00,LARGE
4573,Mercato,6.00,Za'atar Chicken & Lemon Tahini,6.00,VENTI
4219,Hot Brew,7.00,Cold Brew Coffee with Milk,8.00,GRANDE
4537,Mercato,2.00,Grilled Chicken & Cauliflower Tabbouleh,2.00,VENTI
4270,Espresso Beverages,1.00,Iced Cappuccino with Cold Foam,2.00,GRANDE
4302,Espresso Beverages,2.00,Iced Blonde Caramel Cloud Macchiato,3.00,LARGE
4376,Blended Beverages,6.00,Caramel Ribbon Crunch Frappuccino,6.00,VENTI
4150,Bottled Drinks,5.76,Starbucks Doubleshot Espresso Salted Caramel & Cream,6.94,
4556,Mercato,2.00,Smoked Mozzarella & Roasted Pepper Sandwich,3.00,LARGE
4382,Blended Beverages,3.00,Chocolate Cookie Crumble Creme Frappuccino,3.00,VENTI
4536,Mercato,3.00,Grilled Chicken & Cauliflower Tabbouleh,3.00,GRANDE
4418,Blended Beverages,5.00,White Chocolate Mocha Frappuccino Blended Coffee,5.00,VENTI
